bounds -> (1, 50)
moves per side -> 50
id       wins    loses   alpha   weights
86       20      79      18      {'n': 10, 'b': 10, 'r': 12, 'q': 42}
87       18      81      44      {'n': 13, 'b': 29, 'r': 27, 'q': 31}
88       17      82      2       {'n': 33, 'b': 46, 'r': 30, 'q': 9}
89       17      82      29      {'n': 21, 'b': 22, 'r': 48, 'q': 29}
90       14      85      13      {'n': 44, 'b': 26, 'r': 15, 'q': 48}
91       14      85      50      {'n': 44, 'b': 29, 'r': 50, 'q': 46}
92       13      86      29      {'n': 47, 'b': 49, 'r': 11, 'q': 22}
93       10      89      22      {'n': 35, 'b': 43, 'r': 27, 'q': 7}
94       9       90      44      {'n': 49, 'b': 25, 'r': 47, 'q': 1}
95       8       91      24      {'n': 42, 'b': 4, 'r': 23, 'q': 45}
96       8       91      29      {'n': 6, 'b': 28, 'r': 22, 'q': 21}
97       5       94      10      {'n': 47, 'b': 8, 'r': 6, 'q': 8}
98       3       96      27      {'n': 31, 'b': 11, 'r': 44, 'q': 43}
99       3       96      33      {'n': 40, 'b': 13, 'r': 46, 'q': 29}
100      3       96      10      {'n': 2, 'b': 44, 'r': 10, 'q': 49}
